target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9NYY3_WT	Fold 3	8:8		0.40451991747794525	0.6875	0.6875	0.5	0.875	0.8	0.6363636363636364	0.6153846153846154	0.109375	0.890625
Q9NYY3_WT	Fold 4	8:8		0.1259881576697424	0.5625	0.5625	0.5	0.625	0.5714285714285714	0.5555555555555556	0.5333333333333333	0.28125	0.71875
Q9NYY3_WT	Fold 5	9:7		0.42289003161103106	0.6875	0.7063492063492063	0.8571428571428571	0.5555555555555556	0.6	0.8333333333333334	0.7058823529411764	0.2857142857142857	0.7142857142857143
Q9NYY3_WT	Mean	-		0.40721783846814874	0.6911764705882353	0.694047619047619	0.6964285714285714	0.6916666666666667	0.6825974025974026	0.7450505050505052	0.6726744462967373	0.20054563492063493	0.7994543650793651
Q9NYY3_WT	SD	-		0.1584424461345169	0.07248026020892767	0.07255324164432528	0.18269058634789054	0.10680305709161711	0.07742118955068562	0.14291245692087956	0.09358038493709388	0.08674478220296011	0.08674478220296011
Q9NYY3_WT	Test set	19:17		0.5541795665634675	0.7777777777777778	0.7770897832817337	0.7647058823529411	0.7894736842105263	0.7647058823529411	0.7894736842105263	0.7647058823529412	0.08668730650154799	0.913312693498452
Q8IY84_WT		1:20	Number of points 21 < 30										
Q8IVW4_WT		1:13	Number of points 14 < 30										
Q6ZN16_WT		2:13	Number of points 15 < 30										
P0C264_WT		6:14	Number of points 20 < 30										
O95747_WT		2:16	Number of points 18 < 30										
O43283_WT		12:16	Number of points 28 < 30										
Q13523_WT		4:16	Number of points 20 < 30										
Q9BVS4_WT		2:8	Not enough data in minority class of the training set for all 5 folds										
Q9BVS4_WT	Fold 1	2:3		0.6123724356957946	0.8	0.75	1.0	0.5	0.75	1.0	0.8571428571428571	0.16666666666666666	0.8333333333333333
Q9BVS4_WT	Fold 2	1:4		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9BVS4_WT	Fold 3	1:4		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.0	1.0
Q9BVS4_WT	Fold 4	1:3		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9BVS4_WT	Fold 5	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.0	1.0
Q9BVS4_WT	Mean	-		0.5224744871391589	0.8699999999999999	0.75	1.0	0.5	0.86	0.6	0.9206349206349206	0.03333333333333333	0.9666666666666666
Q9BVS4_WT	SD	-		0.41030518142868655	0.0983192080250175	0.2041241452319315	0.0	0.408248290463863	0.1056724498943157	0.447213595499958	0.06009426820952671	0.06085806194501846	0.060858061945018485
Q9BVS4_WT	Test set	2:8		0.375	0.8	0.6875	0.875	0.5	0.875	0.5	0.875	0.4375	0.5625
P57058_WT		2:19	Number of points 21 < 30										
P07949_V804M		18:4	Not enough data in minority class of the training set for all 5 folds										
P07949_V804L		17:4	Not enough data in minority class of the training set for all 5 folds										
P0C1S8_WT		8:14	Number of points 22 < 30										
Q96S53_WT		3:10	Number of points 13 < 30										
Q9H422_WT		4:8	Not enough data in minority class of the training set for all 5 folds										
Q9H422_WT	Fold 1	3:3		0.0	0.5	0.5	0.6666666666666666	0.3333333333333333	0.5	0.5	0.5714285714285715	0.3333333333333333	0.6666666666666666
Q9H422_WT	Fold 2	2:4		-0.25	0.3333333333333333	0.375	0.25	0.5	0.5	0.25	0.3333333333333333	0.5	0.5
Q9H422_WT	Fold 3	2:3		-0.6666666666666666	0.2	0.16666666666666666	0.3333333333333333	0.0	0.3333333333333333	0.0	0.3333333333333333	0.6666666666666666	0.3333333333333333
Q9H422_WT	Fold 4	2:3		0.6123724356957946	0.8	0.75	1.0	0.5	0.75	1.0	0.8571428571428571	0.3333333333333333	0.6666666666666666
Q9H422_WT	Fold 5	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.6666666666666666	0.3333333333333333
Q9H422_WT	Mean	-		-0.06085884619417441	0.48666666666666664	0.45833333333333337	0.65	0.26666666666666666	0.5366666666666666	0.35	0.569047619047619	0.5	0.5
Q9H422_WT	SD	-		0.37934712525689307	0.190126663432955	0.17347216662217774	0.2902744550580696	0.2063797291222968	0.12487030308521155	0.3415650255319866	0.19445254275328966	0.13608276348795434	0.13608276348795434
Q9H422_WT	Test set	4:8		0.0	0.5833333333333334	0.5	0.75	0.25	0.6666666666666666	0.3333333333333333	0.7058823529411765	0.53125	0.46875
Q8WU08_WT		2:11	Number of points 13 < 30										
Q8TDR2_WT		3:6	Not enough data in minority class of the training set for all 5 folds										
Q8TDR2_WT	Fold 1	2:3		-0.4082482904638631	0.4	0.3333333333333333	0.6666666666666666	0.0	0.5	0.0	0.5714285714285715	0.75	0.25
Q8TDR2_WT	Fold 2	1:3		-0.3333333333333333	0.5	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	0.3333333333333333
Q8TDR2_WT	Fold 3	1:3		0.3333333333333333	0.5	0.6666666666666666	0.3333333333333333	1.0	1.0	0.3333333333333333	0.5	0.0	1.0
Q8TDR2_WT	Fold 4	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.6666666666666666	0.3333333333333333
Q8TDR2_WT	Fold 5	1:3		-0.3333333333333333	0.5	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.0	0.6666666666666666	0.3333333333333333	0.6666666666666666
Q8TDR2_WT	Mean	-		-0.1483163247594393	0.53	0.4333333333333333	0.6666666666666666	0.2	0.7166666666666666	0.06666666666666667	0.6523809523809524	0.4833333333333333	0.5166666666666666
Q8TDR2_WT	SD	-		0.25495468193689597	0.1064581294844754	0.12171612389003691	0.19245008972987526	0.36514837167011077	0.14907119849998599	0.12171612389003691	0.10962728031639367	0.256399572426985	0.256399572426985
Q8TDR2_WT	Test set	3:6		0.5	0.7777777777777778	0.6666666666666666	1.0	0.3333333333333333	0.75	1.0	0.8571428571428571	0.44444444444444453	0.5555555555555556
P10721_D816H		5:8	Not enough data in minority class of the training set for all 5 folds										
P10721_D816H	Fold 1	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.75	0.25
P10721_D816H	Fold 2	3:3		0.7071067811865476	0.8333333333333334	0.8333333333333333	0.6666666666666666	1.0	1.0	0.75	0.8	0.22222222222222224	0.7777777777777778
P10721_D816H	Fold 3	3:3		0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.11111111111111112	0.888888888888889
P10721_D816H	Fold 4	3:3		0.4472135954999579	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	0.6	1.0	0.7499999999999999	0.4444444444444445	0.5555555555555556
P10721_D816H	Fold 5	2:3		0.6666666666666666	0.8	0.8333333333333333	0.6666666666666666	1.0	1.0	0.6666666666666666	0.8	0.16666666666666666	0.8333333333333333
P10721_D816H	Mean	-		0.4308640753373011	0.7266666666666666	0.7	0.7999999999999999	0.6	0.7866666666666666	0.6166666666666666	0.7633333333333333	0.3388888888888889	0.6611111111111111
P10721_D816H	SD	-		0.23357236511561685	0.06776866969767517	0.11385500851066219	0.149071198499986	0.3548604316149181	0.16055459438389727	0.3027650354097492	0.047531665858238786	0.2142073146803149	0.21420731468031487
P10721_D816H	Test set	5:8		0.5367450401216932	0.7692307692307693	0.775	0.75	0.8	0.8571428571428571	0.6666666666666666	0.7999999999999999	0.14999999999999997	0.8500000000000001
P10721_A829P		9:5	Not enough data in minority class of the training set for all 5 folds										
P10721_A829P	Fold 1	3:3		-0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.7777777777777778	0.22222222222222224
P10721_A829P	Fold 2	4:2		-0.5	0.3333333333333333	0.25	0.0	0.5	0.0	0.5	0.0	0.875	0.125
P10721_A829P	Fold 3	4:2		-0.31622776601683794	0.5	0.375	0.0	0.75	0.0	0.6	0.0	0.75	0.25
P10721_A829P	Fold 4	4:2		0.25	0.6666666666666666	0.625	0.5	0.75	0.5	0.75	0.5	0.25	0.75
P10721_A829P	Fold 5	4:2		0.25	0.6666666666666666	0.625	0.5	0.75	0.5	0.75	0.5	0.25	0.75
P10721_A829P	Mean	-		-0.12991221987003426	0.4999999999999999	0.4416666666666666	0.26666666666666666	0.6166666666666666	0.26666666666666666	0.5866666666666667	0.26666666666666666	0.5805555555555555	0.41944444444444445
P10721_A829P	SD	-		0.28917272426507495	0.13608276348795434	0.14150317363277812	0.2063797291222968	0.15664302422079648	0.2063797291222968	0.14446581038560774	0.2063797291222968	0.24927879511798282	0.24927879511798282
P10721_A829P	Test set	9:5		-0.1414213562373095	0.5	0.43333333333333335	0.2	0.6666666666666666	0.25	0.6	0.22222222222222224	0.5333333333333333	0.4666666666666667
O75909_WT		3:10	Number of points 13 < 30										
O60307_WT		2:5	Number of points 7 < 30										
Q9NYV4_WT		6:12	Number of points 18 < 30										
P20794_WT		4:12	Number of points 16 < 30										
P51956_WT		2:16	Number of points 18 < 30										
O95382_WT		1:17	Number of points 18 < 30										
Q9H4A3_WT		5:7	Number of points 12 < 30										
O14733_WT		4:20	Not enough data in minority class of the training set for all 5 folds										
P10398_WT		17:7	Number of points 24 < 30										
O76039_WT		11:14	Number of points 25 < 30										
Q15208_WT		3:13	Number of points 16 < 30										
Q9UGJ0_WT		8:15	Number of points 23 < 30										
O43741_WT		5:14	Number of points 19 < 30										
Q92772_WT		8:21	Number of points 29 < 30										
Q96Q40_WT		5:17	Number of points 22 < 30										
Q9UPZ9_WT		3:8	Not enough data in minority class of the training set for all 5 folds										
Q9UPZ9_WT	Fold 1	2:3		-0.16666666666666666	0.4	0.41666666666666663	0.3333333333333333	0.5	0.5	0.3333333333333333	0.4	0.6666666666666666	0.3333333333333333
Q9UPZ9_WT	Fold 2	2:3		-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q9UPZ9_WT	Fold 3	2:3		-0.6666666666666666	0.2	0.16666666666666666	0.3333333333333333	0.0	0.3333333333333333	0.0	0.3333333333333333	1.0	0.0
Q9UPZ9_WT	Fold 4	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.8333333333333333	0.16666666666666666
Q9UPZ9_WT	Fold 5	2:2		0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.25
Q9UPZ9_WT	Mean	-		-0.3666666666666667	0.34	0.31666666666666665	0.4333333333333333	0.2	0.3866666666666666	0.16666666666666666	0.39666666666666667	0.85	0.15
Q9UPZ9_WT	SD	-		0.3651483716701107	0.19663841605003501	0.18257418583505536	0.2981423969999719	0.22360679774997896	0.19302657656203526	0.19245008972987526	0.22244433344430573	0.12171612389003693	0.12171612389003691
Q9UPZ9_WT	Test set	3:8		-0.4629100498862757	0.36363636363636365	0.25	0.5	0.0	0.5714285714285714	0.0	0.5333333333333333	0.7916666666666667	0.20833333333333331
Q8WTQ7_WT		3:38	Not enough data in minority class of the training set for all 5 folds										
P36888_R834Q		6:5	Not enough data in minority class of the training set for all 5 folds										
P36888_R834Q	Fold 1	3:2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P36888_R834Q	Fold 2	3:2		0.0	0.6	0.5	0.0	1.0	0.0	0.6	0.0	0.16666666666666669	0.8333333333333334
P36888_R834Q	Fold 3	3:2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P36888_R834Q	Fold 4	2:2		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	0.0	1.0
P36888_R834Q	Fold 5	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.25	0.75
P36888_R834Q	Mean	-		0.5154700538379251	0.77	0.75	0.6	0.9	0.5333333333333333	0.82	0.5599999999999999	0.08333333333333334	0.9166666666666667
P36888_R834Q	SD	-		0.40922415440989596	0.18618986725025255	0.2041241452319315	0.447213595499958	0.18257418583505536	0.41275945824459354	0.2033060090930254	0.4226897995772629	0.09622504486493763	0.09622504486493763
P36888_R834Q	Test set	6:5		0.5163977794943223	0.7272727272727273	0.7	0.4	1.0	1.0	0.6666666666666666	0.5714285714285715	0.3666666666666667	0.6333333333333333
Q8TF76_WT		7:3	Not enough data in minority class of the training set for all 5 folds										
Q8TF76_WT	Fold 1	2:3		0.16666666666666666	0.6	0.5833333333333333	0.6666666666666666	0.5	0.6666666666666666	0.5	0.6666666666666666	0.16666666666666666	0.8333333333333333
Q8TF76_WT	Fold 2	1:3		-0.3333333333333333	0.5	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.0	0.6666666666666666	1.0	0.0
Q8TF76_WT	Fold 3	2:2		0.5773502691896258	0.75	0.75	0.5	1.0	1.0	0.6666666666666666	0.6666666666666666	0.0	1.0
Q8TF76_WT	Fold 4	2:2		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.75	0.25
Q8TF76_WT	Fold 5	2:2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q8TF76_WT	Mean	-		0.2821367205045918	0.67	0.6333333333333333	0.7666666666666666	0.5	0.7666666666666666	0.4333333333333333	0.7333333333333333	0.38333333333333336	0.6166666666666666
Q8TF76_WT	SD	-		0.4231265722642953	0.17224014243685085	0.20749832663314555	0.18257418583505536	0.408248290463863	0.18257418583505536	0.35486043161491804	0.12171612389003693	0.3776143437325873	0.3776143437325873
Q8TF76_WT	Test set	7:3		-0.2182178902359924	0.4	0.38095238095238093	0.3333333333333333	0.42857142857142855	0.2	0.6	0.25	0.5238095238095238	0.47619047619047616
Q15835_WT		4:22	Not enough data in minority class of the training set for all 5 folds										
O43318_WT	Fold 1	12:15		0.5487954724560282	0.7777777777777778	0.7666666666666666	0.8666666666666667	0.6666666666666666	0.7647058823529411	0.8	0.8125	0.1111111111111111	0.8888888888888888
O43318_WT	Fold 2	12:15		0.55	0.7777777777777778	0.775	0.8	0.75	0.8	0.75	0.8000000000000002	0.19444444444444448	0.8055555555555555
O43318_WT	Fold 3	11:16		0.47193990372426947	0.7407407407407407	0.7386363636363636	0.75	0.7272727272727273	0.8	0.6666666666666666	0.7741935483870969	0.23863636363636365	0.7613636363636364
O43318_WT	Fold 4	11:15		0.5272727272727272	0.7692307692307693	0.7636363636363637	0.8	0.7272727272727273	0.8	0.7272727272727273	0.8000000000000002	0.18787878787878787	0.8121212121212122
O43318_WT	Fold 5	11:15		0.2335496832484569	0.6153846153846154	0.6181818181818182	0.6	0.6363636363636364	0.6923076923076923	0.5384615384615384	0.6428571428571429	0.30303030303030304	0.696969696969697
O43318_WT	Mean	-		0.4663115573402964	0.7361823361823362	0.7324242424242424	0.7633333333333334	0.7015151515151514	0.7714027149321268	0.6964801864801865	0.765910138248848	0.20702020202020202	0.792979797979798
O43318_WT	SD	-		0.10934150191100038	0.05651759143847535	0.05330628044369025	0.0818761485641802	0.03902311873147852	0.0381974787787385	0.08204433952051517	0.057308386711437835	0.057649253109146564	0.05764925310914654
O43318_WT	Test set	26:31		0.29790068857263574	0.6491228070175439	0.6495037220843672	0.6451612903225806	0.6538461538461539	0.6896551724137931	0.6071428571428571	0.6666666666666667	0.3176178660049627	0.6823821339950371
P35626_WT		8:1	Not enough data in minority class of the training set for all 5 folds										
P35626_WT	Fold 1	3:2		0.6123724356957946	0.8	0.75	0.5	1.0	1.0	0.75	0.6666666666666666	0.0	1.0
P35626_WT	Fold 2	3:1		0.0	0.75	0.5	0.0	1.0	0.0	0.75	0.0	0.0	1.0
P35626_WT	Fold 3	3:1		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P35626_WT	Fold 4	3:1		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P35626_WT	Fold 5	3:1		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P35626_WT	Mean	-		0.722474487139159	0.9099999999999999	0.85	0.7	1.0	0.8	0.9	0.7333333333333333	0.0	1.0
P35626_WT	SD	-		0.35710714479108524	0.1016530045465127	0.18257418583505536	0.3651483716701107	0.0	0.3651483716701107	0.11180339887498948	0.35486043161491804	0.0	0.0
P35626_WT	Test set	8:1		0.0	0.8888888888888888	0.5	0.0	1.0	0.0	0.8888888888888888	0.0	0.625	0.375
Q9Y2K2_WT	Fold 1	1:5		-0.2	0.6666666666666666	0.4	0.8	0.0	0.8	0.0	0.8000000000000002	0.4	0.6
Q9Y2K2_WT	Fold 2	1:5		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.8	0.2
Q9Y2K2_WT	Fold 3	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.375	0.625
Q9Y2K2_WT	Fold 4	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	1.0	0.0
Q9Y2K2_WT	Fold 5	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.375	0.625
Q9Y2K2_WT	Mean	-		0.023245553203367585	0.7	0.505	0.9099999999999999	0.1	0.74	0.2	0.8129292929292931	0.5900000000000001	0.41
Q9Y2K2_WT	SD	-		0.29924856482010265	0.11385500851066223	0.12110601416389967	0.1016530045465127	0.18257418583505536	0.08255189164891874	0.3651483716701107	0.07825599627046982	0.23831002217000163	0.23831002217000163
Q9Y2K2_WT	Test set	6:8		0.41079191812887456	0.7142857142857143	0.6875	0.875	0.5	0.7	0.75	0.7777777777777777	0.4583333333333333	0.5416666666666666
Q8IYT8_WT		5:7	Not enough data in minority class of the training set for all 5 folds										
Q8IYT8_WT	Fold 1	3:3		0.4472135954999579	0.6666666666666666	0.6666666666666666	0.3333333333333333	1.0	1.0	0.6	0.5	0.22222222222222224	0.7777777777777779
Q8IYT8_WT	Fold 2	3:3		0.0	0.5	0.5	0.6666666666666666	0.3333333333333333	0.5	0.5	0.5714285714285715	0.4444444444444445	0.5555555555555556
Q8IYT8_WT	Fold 3	2:3		0.4082482904638631	0.6	0.6666666666666666	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	0.5
Q8IYT8_WT	Fold 4	3:2		0.16666666666666666	0.6	0.5833333333333333	0.5	0.6666666666666666	0.5	0.6666666666666666	0.5	0.5	0.5
Q8IYT8_WT	Fold 5	3:2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q8IYT8_WT	Mean	-		0.4044257105260975	0.6733333333333333	0.6833333333333332	0.5666666666666667	0.7999999999999999	0.8	0.6533333333333333	0.6142857142857143	0.33333333333333337	0.6666666666666667
Q8IYT8_WT	SD	-		0.31001173842607693	0.15682025568335423	0.1551582227085438	0.2277100170213244	0.24343224778007386	0.22360679774997896	0.16843506277010845	0.17785570854269617	0.17858612520357325	0.17858612520357325
Q8IYT8_WT	Test set	5:7		0.3142857142857143	0.6666666666666666	0.6571428571428571	0.7142857142857143	0.6	0.7142857142857143	0.6	0.7142857142857143	0.3714285714285714	0.6285714285714286
O75385_WT	Fold 1	5:6		0.04303314829119352	0.5454545454545454	0.5166666666666667	0.8333333333333334	0.2	0.5555555555555556	0.5	0.6666666666666667	0.7333333333333334	0.2666666666666666
O75385_WT	Fold 2	5:5		0.408248290463863	0.7	0.7	0.8	0.6	0.6666666666666666	0.75	0.7272727272727272	0.44	0.56
O75385_WT	Fold 3	5:5		0.0	0.5	0.5	0.6	0.4	0.5	0.5	0.5454545454545454	0.36	0.6399999999999999
O75385_WT	Fold 4	5:5		0.408248290463863	0.7	0.7	0.6	0.8	0.75	0.6666666666666666	0.6666666666666665	0.11999999999999997	0.8800000000000001
O75385_WT	Fold 5	5:5		0.0	0.5	0.5	0.6	0.4	0.5	0.5	0.5454545454545454	0.6	0.4
O75385_WT	Mean	-		0.1719059458437839	0.5890909090909091	0.5833333333333334	0.6866666666666668	0.48	0.5944444444444444	0.5833333333333333	0.6303030303030303	0.4506666666666666	0.5493333333333333
O75385_WT	SD	-		0.1767422389163361	0.08404380335005489	0.08713548411865621	0.09737289911202957	0.18618986725025255	0.09015304773805988	0.09622504486493763	0.0663906130309292	0.19143125639750144	0.19143125639750144
O75385_WT	Test set	7:15		0.23904572186687875	0.6818181818181818	0.6142857142857143	0.8	0.42857142857142855	0.75	0.5	0.7741935483870969	0.39047619047619053	0.6095238095238096
Q9Y572_WT		3:15	Not enough data in minority class of the training set for all 5 folds										
Q9Y572_WT	Fold 1	3:6		-0.3779644730092272	0.4444444444444444	0.3333333333333333	0.6666666666666666	0.0	0.5714285714285714	0.0	0.6153846153846153	0.6111111111111112	0.3888888888888889
Q9Y572_WT	Fold 2	3:6		0.5	0.7777777777777778	0.6666666666666666	1.0	0.3333333333333333	0.75	1.0	0.8571428571428571	0.6666666666666667	0.33333333333333337
Q9Y572_WT	Fold 3	2:6		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.5833333333333333	0.41666666666666663
Q9Y572_WT	Fold 4	2:6		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.9166666666666667	0.08333333333333333
Q9Y572_WT	Fold 5	2:6		0.6546536707079772	0.875	0.75	1.0	0.5	0.8571428571428571	1.0	0.923076923076923	0.4166666666666667	0.5833333333333334
Q9Y572_WT	Mean	-		0.15533783953975	0.7194444444444444	0.55	0.9333333333333332	0.16666666666666666	0.7357142857142857	0.4	0.8219780219780219	0.6388888888888888	0.36111111111111105
Q9Y572_WT	SD	-		0.34175511443726925	0.13234588055079552	0.1326370709590369	0.12171612389003694	0.19245008972987526	0.08401085125893977	0.4472135954999579	0.09713523249211559	0.14785851317288254	0.14785851317288254
Q9Y572_WT	Test set	3:15		-0.15811388300841897	0.7222222222222222	0.43333333333333335	0.8666666666666667	0.0	0.8125	0.0	0.8387096774193549	0.5333333333333333	0.4666666666666667
Q9BYP7_WT		1:2	Number of points 3 < 30										
Q9P2K8_WT		5:6	Not enough data in minority class of the training set for all 5 folds										
Q9P2K8_WT	Fold 1	3:2		0.16666666666666666	0.6	0.5833333333333333	0.5	0.6666666666666666	0.5	0.6666666666666666	0.5	0.16666666666666669	0.8333333333333334
Q9P2K8_WT	Fold 2	3:2		0.0	0.6	0.5	0.0	1.0	0.0	0.6	0.0	0.8333333333333334	0.16666666666666669
Q9P2K8_WT	Fold 3	4:1		0.0	0.8	0.5	0.0	1.0	0.0	0.8	0.0	0.75	0.25
Q9P2K8_WT	Fold 4	4:1		0.0	0.8	0.5	0.0	1.0	0.0	0.8	0.0	0.5	0.5
Q9P2K8_WT	Fold 5	3:1		0.0	0.75	0.5	0.0	1.0	0.0	0.75	0.0	0.33333333333333337	0.6666666666666667
Q9P2K8_WT	Mean	-		0.03333333333333333	0.71	0.5166666666666666	0.1	0.9333333333333332	0.1	0.7233333333333333	0.1	0.5166666666666667	0.4833333333333334
Q9P2K8_WT	SD	-		0.06085806194501846	0.08366600265340758	0.030429030972509204	0.1825741858350554	0.12171612389003694	0.1825741858350554	0.07175059684872422	0.1825741858350554	0.2277100170213244	0.2277100170213244
Q9P2K8_WT	Test set	5:6		-0.06900655593423542	0.45454545454545453	0.4666666666666667	0.3333333333333333	0.6	0.5	0.42857142857142855	0.4	0.3333333333333333	0.6666666666666666
Q9NZJ5_WT	Fold 1	7:16		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 2	7:16		0.6829890845656718	0.8695652173913043	0.8258928571428572	0.9375	0.7142857142857143	0.8823529411764706	0.8333333333333334	0.9090909090909091	0.017857142857142856	0.9821428571428572
Q9NZJ5_WT	Fold 3	6:16		0.8964214570007952	0.9545454545454546	0.96875	0.9375	1.0	1.0	0.8571428571428571	0.967741935483871	0.010416666666666664	0.9895833333333334
